,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
RSHO_Angle,66.54499999999999,66.75,66.94500000000001,67.1325,67.315,67.48750000000001,67.655,67.815,67.9725,68.125,68.28,68.4325,68.5925,68.7525,68.9125,69.08,69.25,69.42500000000001,69.60249999999999,69.7775,69.9575,70.13749999999999,70.315,70.4975,70.68,70.86,71.0425,71.235,71.4225,71.6175,71.8175,72.02000000000001,72.225,72.43,72.64,72.84,73.045,73.23500000000001,73.4225,73.6025,73.78,73.9425,74.0975,74.2525,74.4025,74.5525,74.705,74.8625,75.035,75.2175,75.41749999999999,75.6425,75.8925,76.1725,76.4825,76.83000000000001,77.22,77.6475,78.12,78.6325,79.1875,79.78,80.4075,81.065,81.7525,82.45500000000001,83.17500000000001,83.905,84.6425,85.38,86.1125,86.8275,87.525,88.185,88.8175,89.4075,89.96000000000001,90.4625,90.91999999999999,91.32,91.6625,91.955,92.195,92.39,92.5575,92.7025,92.8425,92.97749999999999,93.11250000000001,93.23,93.33250000000001,93.4025,93.445,93.45,93.4375,93.39500000000001,93.33,93.2475,93.1525,93.045,92.93
RELB_Angle,109.375,109.39,109.3975,109.3975,109.3825,109.35000000000001,109.3075,109.2475,109.16749999999999,109.075,108.955,108.82,108.6625,108.485,108.29,108.07749999999999,107.85000000000001,107.605,107.3425,107.07,106.7825,106.4875,106.175,105.855,105.5325,105.2025,104.865,104.525,104.185,103.84499999999998,103.5075,103.17000000000002,102.8375,102.5075,102.18,101.85249999999999,101.525,101.1925,100.8575,100.50999999999999,100.14750000000001,99.76249999999999,99.34250000000002,98.8775,98.36500000000001,97.7875,97.13250000000001,96.3875,95.5475,94.5975,93.5225,92.3175,90.9675,89.47,87.80749999999999,85.9825,83.98249999999999,81.805,79.4525,76.9275,74.2375,71.4025,68.435,65.35,62.18249999999999,58.9475,55.67,52.3875,49.11,45.872499999999995,42.68750000000001,39.567499999999995,36.5375,33.6025,30.775,28.08,25.509999999999998,23.08,20.7825,18.61,16.54,14.545,12.6075,10.71,8.834999999999999,6.9925,5.2,3.4924999999999997,1.905,0.4725,-0.7875000000000001,-1.8599999999999999,-2.7600000000000002,-3.4975,-4.085000000000001,-4.5375,-4.87,-5.105,-5.244999999999999,-5.305,-5.3025
RWRI_Angle,8.530000000000001,9.35,10.292499999999999,11.33,12.4275,13.55,14.6675,15.757499999999999,16.8,17.779999999999998,18.685000000000002,19.505,20.245,20.9025,21.4775,21.982499999999998,22.42,22.792499999999997,23.115000000000002,23.39,23.625,23.83,24.012500000000003,24.1775,24.3325,24.485,24.625,24.752499999999998,24.86,24.9325,24.95,24.907500000000002,24.805,24.634999999999998,24.4175,24.1625,23.877499999999998,23.5775,23.277499999999996,22.9725,22.6725,22.372500000000002,22.064999999999998,21.745,21.4,21.025,20.607499999999998,20.1575,19.67,19.165,18.650000000000002,18.14,17.66,17.225,16.8425,16.535,16.2925,16.122500000000002,16.02,15.9775,15.975,16.0,16.04,16.0675,16.075,16.0425,15.96,15.807500000000001,15.5825,15.27,14.8825,14.415,13.870000000000001,13.232500000000002,12.5075,11.68,10.7375,9.6825,8.5075,7.2225,5.854999999999999,4.4125000000000005,2.9250000000000003,1.4124999999999996,-0.10999999999999988,-1.6300000000000001,-3.1375,-4.6225000000000005,-6.057500000000001,-7.42,-8.6875,-9.845,-10.865,-11.735,-12.439999999999998,-12.9675,-13.317499999999999,-13.4925,-13.504999999999999,-13.375,-13.13
RHIP_Angle,28.7575,28.582500000000003,28.395,28.195,27.9775,27.747500000000002,27.502499999999998,27.2425,26.9675,26.680000000000003,26.38,26.065,25.735000000000003,25.3975,25.037499999999998,24.665,24.277500000000003,23.8725,23.45,23.0075,22.545,22.06,21.557500000000005,21.0325,20.490000000000002,19.927500000000002,19.349999999999998,18.76,18.1525,17.542499999999997,16.9225,16.29,15.654999999999998,15.02,14.377500000000001,13.729999999999999,13.0825,12.434999999999999,11.785,11.135,10.485000000000001,9.8325,9.185,8.540000000000001,7.8999999999999995,7.2700000000000005,6.65,6.045,5.4575,4.8875,4.34,3.82,3.33,2.8675,2.4425,2.0500000000000003,1.6899999999999997,1.365,1.075,0.8174999999999999,0.5900000000000001,0.39249999999999996,0.22249999999999992,0.07750000000000001,-0.050000000000000155,-0.15249999999999997,-0.23749999999999993,-0.31000000000000005,-0.365,-0.40249999999999997,-0.42999999999999994,-0.44499999999999995,-0.45000000000000007,-0.4425,-0.42500000000000004,-0.3975000000000001,-0.3625000000000001,-0.31750000000000006,-0.265,-0.20500000000000007,-0.13499999999999995,-0.0625,0.01999999999999999,0.10499999999999987,0.19250000000000003,0.28,0.37,0.45999999999999996,0.5425,0.6224999999999999,0.6925000000000001,0.7625000000000001,0.8225000000000001,0.8824999999999998,0.9325,0.9775,1.0225,1.0625,1.1050000000000002,1.1475,1.1949999999999998
RKNEE_Angle,76.895,76.86250000000001,76.7775,76.64250000000001,76.4675,76.2475,75.9825,75.6825,75.33749999999999,74.955,74.53750000000001,74.0825,73.5875,73.06,72.49,71.89,71.25,70.5725,69.86,69.11,68.32249999999999,67.495,66.6275,65.7175,64.7675,63.77250000000001,62.7325,61.647499999999994,60.51,59.322500000000005,58.089999999999996,56.7975,55.455000000000005,54.052499999999995,52.59,51.06,49.477500000000006,47.83,46.1175,44.3375,42.497499999999995,40.5975,38.637499999999996,36.627500000000005,34.57,32.4675,30.3375,28.189999999999998,26.035,23.884999999999998,21.7625,19.674999999999997,17.645,15.685,13.8125,12.035,10.375000000000002,8.834999999999999,7.4275,6.1525,5.0175,4.0225,3.16,2.4299999999999997,1.8199999999999998,1.3275,0.945,0.66,0.465,0.34500000000000003,0.29,0.29000000000000004,0.33749999999999997,0.4175,0.5225,0.645,0.77,0.9,1.02,1.125,1.2149999999999999,1.2875,1.3375,1.365,1.3699999999999999,1.3475000000000001,1.31,1.2525,1.1775,1.09,0.9875,0.88,0.7675,0.6525,0.54,0.43000000000000005,0.33249999999999996,0.24000000000000002,0.16999999999999998,0.11250000000000004,0.07249999999999995
RANK_Angle,33.395,33.29,33.1575,33.0,32.8225,32.6175,32.387499999999996,32.14,31.8675,31.5725,31.2475,30.895,30.522499999999997,30.120000000000005,29.69,29.2325,28.745000000000005,28.222500000000004,27.6625,27.07,26.44,25.7725,25.064999999999998,24.317500000000003,23.5275,22.7,21.830000000000002,20.92,19.9675,18.97,17.927500000000002,16.835,15.6925,14.4925,13.2375,11.915000000000001,10.525,9.06,7.52,5.9025,4.199999999999999,2.4125,0.5425,-1.415,-3.4525,-5.57,-7.7575,-10.0,-12.29,-14.610000000000001,-16.9375,-19.25,-21.5275,-23.7375,-25.8625,-27.8775,-29.76,-31.485,-33.045,-34.4225,-35.6125,-36.614999999999995,-37.4325,-38.0675,-38.5375,-38.8525,-39.0275,-39.08,-39.0275,-38.8825,-38.67,-38.394999999999996,-38.08,-37.737500000000004,-37.375,-37.005,-36.6325,-36.2725,-35.9275,-35.6,-35.2975,-35.0175,-34.7625,-34.53,-34.3175,-34.1225,-33.949999999999996,-33.8,-33.660000000000004,-33.540000000000006,-33.4375,-33.35,-33.275,-33.222500000000004,-33.185,-33.1675,-33.17,-33.19,-33.2325,-33.2975,-33.3775
TORSO_Angle,0.655,0.26,-0.12749999999999986,-0.51,-0.8800000000000001,-1.24,-1.5925,-1.935,-2.2675,-2.5925000000000002,-2.91,-3.2175000000000002,-3.5175,-3.8125,-4.0975,-4.3725,-4.647500000000001,-4.9125,-5.1725,-5.422499999999999,-5.67,-5.907499999999999,-6.14,-6.3575,-6.5725,-6.7775,-6.9725,-7.1625,-7.342499999999999,-7.5200000000000005,-7.695,-7.864999999999999,-8.035,-8.21,-8.3875,-8.565000000000001,-8.7525,-8.942499999999999,-9.14,-9.34,-9.5375,-9.7425,-9.945,-10.1475,-10.345,-10.535,-10.72,-10.8975,-11.059999999999999,-11.215,-11.3575,-11.4875,-11.605,-11.71,-11.807500000000001,-11.895000000000001,-11.9725,-12.05,-12.1175,-12.187499999999998,-12.254999999999999,-12.3225,-12.389999999999999,-12.457500000000001,-12.5325,-12.605,-12.675,-12.745,-12.807500000000001,-12.875,-12.9325,-12.985,-13.0275,-13.07,-13.095000000000002,-13.1175,-13.127500000000001,-13.135000000000002,-13.1325,-13.132499999999999,-13.129999999999999,-13.14,-13.162500000000001,-13.2,-13.2525,-13.325000000000001,-13.405000000000001,-13.492500000000001,-13.575000000000001,-13.6425,-13.692499999999999,-13.71,-13.7025,-13.657499999999999,-13.575,-13.450000000000001,-13.295,-13.1025,-12.8875,-12.657499999999999,-12.42
RSHO_Velocity,216.5475,211.51749999999998,206.2475,200.89999999999998,195.605,190.465,185.5425,180.8625,176.43,172.2025,168.1275,164.11499999999998,160.0825,155.93,151.6025,147.07,142.33499999999998,137.4275,132.385,127.27250000000001,122.135,117.02749999999999,111.985,107.0325,102.17000000000002,97.385,92.64750000000001,87.91,83.1075,78.1575,72.97749999999999,67.505,61.727500000000006,55.692499999999995,49.480000000000004,43.2,36.989999999999995,31.015,25.4625,20.525,16.39,13.235,11.2275,10.495,11.145,13.23,16.7875,21.7925,28.1925,35.89,44.75749999999999,54.652499999999996,65.425,76.92249999999999,89.0,101.5,114.25,127.055,139.675,151.85500000000002,163.305,173.72750000000002,182.8575,190.45749999999998,196.365,200.445,202.63,202.95499999999998,201.64499999999998,199.08,195.6625,191.6925,187.3025,182.5625,177.59249999999997,172.60750000000002,167.835,163.5575,160.055,157.47,155.62,153.8825,151.3275,146.95499999999998,139.87,129.525,115.8675,99.525,81.65999999999998,63.69,46.905,32.2025,20.015,10.3325,2.91,-2.5975,-6.5525,-9.2925,-11.197500000000002,-12.5975,-13.735
RELB_Velocity,0.3725,0.7925,1.32,1.9625,2.7549999999999994,3.6950000000000003,4.7925,6.0424999999999995,7.4225,8.905000000000001,10.445,11.997499999999999,13.505,14.942500000000003,16.2975,17.5775,18.8025,19.985,21.137500000000003,22.262500000000003,23.362499999999997,24.439999999999998,25.495,26.525,27.534999999999997,28.4925,29.3675,30.1125,30.699999999999996,31.12,31.369999999999997,31.472499999999997,31.475,31.407500000000002,31.3325,31.3125,31.4125,31.724999999999998,32.349999999999994,33.417500000000004,35.09,37.535,40.9525,45.522499999999994,51.3675,58.565,67.145,77.10249999999999,88.47,101.28,115.60249999999999,131.51749999999998,149.0975,168.405,189.4425,212.14249999999998,236.3175,261.67,287.805,314.2425,340.44,365.78,389.60249999999996,411.2725,430.2075,445.91499999999996,457.96999999999997,466.045,469.975,469.86,466.015,458.775,448.335,434.715,417.92750000000007,398.2,376.0825,352.46,328.51500000000004,305.635,285.025,267.4175,252.85,240.7625,230.0925,219.52249999999998,207.7725,193.93,177.64499999999998,159.2125,139.4475,119.405,99.97500000000001,81.70500000000001,64.8775,49.6275,35.972500000000004,23.865,13.165000000000001,3.7100000000000004,-4.657500000000001
RWRI_Velocity,-132.73499999999999,-156.75,-175.3825,-188.60750000000002,-196.8,-200.6675,-200.99749999999997,-198.425,-193.325,-185.84749999999997,-176.0525,-163.9925,-149.89500000000004,-134.24499999999998,-117.725,-101.095,-85.065,-70.1725,-56.8375,-45.30499999999999,-35.692499999999995,-27.977500000000003,-21.989999999999995,-17.445000000000007,-13.939999999999998,-10.942499999999995,-7.707499999999996,-3.397500000000008,2.6674999999999898,10.650000000000006,20.082499999999982,30.07249999999999,39.65249999999999,48.0,54.51000000000002,58.87249999999999,61.1325,61.615,60.915,59.79500000000001,59.059999999999995,59.425000000000004,61.434999999999995,65.38749999999999,71.2575,78.58,86.4675,93.85000000000001,99.63499999999999,102.9375,103.1025,99.805,93.0975,83.42000000000002,71.47749999999999,58.11,44.2125,30.700000000000003,18.4975,8.414999999999997,1.0625,-3.180000000000005,-4.159999999999995,-1.9325000000000023,3.320000000000002,11.344999999999999,21.842499999999998,34.3875,48.285,62.714999999999996,77.185,91.795,107.21000000000001,124.23749999999998,143.345,164.4625,187.04500000000002,210.18,232.59,252.79250000000002,269.4825,281.925,290.155,294.7525,296.4375,295.5,291.615,284.0625,272.3025,256.2625,236.1325,212.225,184.9425,154.82250000000002,122.5975,89.1725,55.735000000000014,23.682500000000005,-5.48,-30.552500000000002,-50.785
RHIP_Velocity,35.057500000000005,37.525000000000006,40.095,42.835,45.7425,48.7725,51.83,54.832499999999996,57.739999999999995,60.56,63.3475,66.16499999999999,69.045,72.005,75.08250000000001,78.3125,81.75,85.4225,89.32249999999999,93.43,97.695,102.03,106.3475,110.535,114.505,118.1575,121.4375,124.3075,126.76499999999999,128.835,130.56,131.98000000000002,133.1275,134.0325,134.70499999999998,135.1775,135.49,135.6575,135.69,135.5675,135.2525,134.6925,133.82,132.5975,130.97,128.8975,126.3225,123.195,119.4725,115.14750000000001,110.2225,104.72000000000001,98.69250000000001,92.22500000000001,85.4375,78.44,71.3525,64.2975,57.407500000000006,50.807500000000005,44.59,38.82000000000001,33.4975,28.622500000000002,24.177500000000002,20.15,16.505,13.1925,10.155,7.355,4.7875000000000005,2.4224999999999994,0.2425000000000006,-1.7849999999999997,-3.705,-5.552499999999999,-7.3374999999999995,-9.057500000000001,-10.692499999999999,-12.2075,-13.575,-14.7775,-15.82,-16.6725,-17.2775,-17.54,-17.4175,-16.905,-16.08,-15.052499999999998,-13.9225,-12.7725,-11.6475,-10.592500000000001,-9.645,-8.865,-8.3125,-8.05,-8.14,-8.620000000000001,-9.477500000000001
RKNEE_Velocity,11.8825,21.275,30.295,38.93,47.165000000000006,55.0175,62.489999999999995,69.6325,76.5025,83.16,89.685,96.135,102.54499999999999,108.94749999999999,115.35499999999999,121.795,128.29,134.8825,141.6225,148.5675,155.78,163.2975,171.1725,179.4325,188.095,197.16500000000002,206.62,216.45499999999998,226.645,237.1975,248.10500000000002,259.39,271.065,283.1275,295.5625,308.33,321.3875,334.65999999999997,348.05,361.415,374.59749999999997,387.37750000000005,399.51750000000004,410.74499999999995,420.77,429.28499999999997,435.9625,440.46999999999997,442.5,441.73499999999996,437.9175,430.83500000000004,420.375,406.525,389.38750000000005,369.19,346.265,321.03249999999997,294.01000000000005,265.745,236.8075,207.75250000000003,179.0925,151.3025,124.7975,99.9325,76.9925,56.205000000000005,37.735,21.69,8.114999999999998,-3.0075000000000003,-11.75,-18.215,-22.55,-24.922499999999996,-25.5325,-24.6075,-22.3975,-19.165000000000003,-15.1825,-10.7075,-5.977500000000001,-1.21,3.435,7.83,11.85,15.395,18.3875,20.755,22.46,23.4875,23.835,23.515,22.5375,20.9175,18.667499999999997,15.785,12.275,8.1575,3.4375
TORSO_Velocity,87.965,85.595,83.275,81.015,78.83500000000001,76.735,74.7125,72.77,70.9,69.1075,67.405,65.81,64.355,63.052499999999995,61.9,60.86750000000001,59.8925,58.912499999999994,57.8675,56.712500000000006,55.419999999999995,53.99,52.440000000000005,50.8175,49.1675,47.5575,46.0575,44.7175,43.6025,42.775000000000006,42.31,42.245000000000005,42.5775,43.2575,44.2075,45.32000000000001,46.4875,47.6,48.544999999999995,49.2275,49.58250000000001,49.5575,49.125,48.28,47.0225,45.3775,43.3625,41.015,38.387499999999996,35.5625,32.64,29.735,26.965,24.442500000000003,22.255,20.477500000000003,19.169999999999998,18.3675,18.07,18.244999999999997,18.83,19.75,20.907500000000002,22.165000000000003,23.399999999999995,24.497500000000002,25.3825,26.0075,26.307500000000005,26.1975,25.607499999999998,24.5175,22.97,20.995,18.65,16.064999999999998,13.465,11.129999999999999,9.355,8.412499999999998,8.5275,9.767499999999998,11.947499999999998,14.659999999999997,17.3275,19.325,20.075,19.2,16.552500000000002,12.219999999999999,6.424999999999999,-0.5825000000000014,-8.537500000000001,-17.0925,-25.805000000000003,-34.195,-41.8175,-48.325,-53.36,-56.6825,-58.2775
